E-CoinAgency;2023-11-30 22:17:22;MXN;36398.3760
CumminsAllison;2023-11-30 22:20:40;AXS;-424.4830
FredMeyer;2023-11-30 22:22:47;DOT;212.9647
TopCrypto;2023-11-30 22:27:29;CNY;5904.3700
LaundryDepot;2023-11-30 22:30:52;HKD;-70364.7905
CoinCygen;2023-11-30 22:34:06;DKK;68037.1569
CryForCrypto;2023-11-30 22:43:25;XRP;-6724.7431
BlockchainBishop;2023-11-30 22:47:43;EUR;8141.5494
CapitalCart;2023-11-30 22:56:42;TON;362.6032
NorthIdaho;2023-11-30 23:06:21;SGD;3656.9526
_CoinLaundry_;2023-11-30 23:06:43;CZK;197045.9923
SatoshiLadies;2023-11-30 23:07:18;SOL;56.5851
CryptoSly;2023-11-30 23:07:54;CHF;1604.9596
SatoshiStaff;2023-11-30 23:09:52;INR;-488454.3213
Coinaro;2023-11-30 23:17:45;BNB;-27.6026
CryptoCollective;2023-11-30 23:20:45;HKD;50784.1618
TechAlpharetta;2023-11-30 23:23:33;FIL;-94.8338
ArmstrongCoin;2023-11-30 23:25:48;BSV;86.8942
CyberCoinage;2023-11-30 23:32:35;NOK;80611.4570
DigiBronze;2023-11-30 23:36:28;INR;-598857.1551
_CoinLaundry_;2023-11-30 23:42:05;AUD;12872.4820
LedgerTeller;2023-11-30 23:49:02;CNY;67509.0205
CryptoBrite;2023-11-30 23:52:47;BGB;9574.3239
E-CashPros;2023-11-30 23:57:59;TIA;-263.4023
RippleTrust;2023-11-30 23:59:17;USD;-3559.4089
CurrencyClimb;2023-12-01 00:04:56;JPY;888913.0787
CryptoComplex;2023-12-01 00:09:27;PLN;-19458.6671
BITFountain;2023-12-01 00:13:47;DYM;249.3840
BritanniaCoins;2023-12-01 00:16:07;CAD;-8834.9493
ArrangeExchange;2023-12-01 00:20:32;FLR;-21279.7800
CryptoBrite;2023-12-01 00:27:33;AUD;4517.6157
PistolAnnies;2023-12-01 00:35:19;CAD;-9665.8194
Bitcoinpad;2023-12-01 00:39:55;BNB;-15.1897
ShrewdCrypto;2023-12-01 00:48:16;SUI;436.3757
TechAlpharetta;2023-12-01 00:54:39;KCS;819.0294
DigiBronze;2023-12-01 00:56:53;GRT;-37935.3169
ShrewdCrypto;2023-12-01 01:04:34;SUI;294.9596
Cryptowall;2023-12-01 01:11:51;CHZ;-77836.7187
CryptoSly;2023-12-01 01:20:45;MKR;4.4169
IronCladCrypto;2023-12-01 01:26:00;BNB;5.2586
Coldwalletbea;2023-12-01 01:29:40;CHF;-318.6687
SatoshiLadies;2023-12-01 01:33:18;PLN;3554.8317
ExpeditedExchange;2023-12-01 01:40:05;FTM;18711.1298
BandsofBits*;2023-12-01 01:48:41;CRO;-75485.3815
LaundryDepot;2023-12-01 01:55:38;LEO;-386.4693
Vox_Ledger;2023-12-01 01:58:05;CRO;76053.9832
Capitsio;2023-12-01 02:05:05;IMX;2875.0540
CryptoAbsolute;2023-12-01 02:08:17;ETH;-1.3409
_CoinLaundry_;2023-12-01 02:16:57;JPY;-1285774.0517
COINTRAL;2023-12-01 02:24:09;IMX;-1429.1351
Capitsio;2023-12-01 02:30:21;MNT;5172.1177
CurrencyN;2023-12-01 02:39:14;SEK;72457.8654
Dogelia;2023-12-01 02:40:48;MNT;-7709.9673
Crypto::Traders;2023-12-01 02:43:23;INR;731911.4853
Crypto::Traders;2023-12-01 02:51:31;FLR;-304519.0212
CryForCrypto;2023-12-01 02:52:52;BGB;-12205.9903
LauncherLedger;2023-12-01 03:02:09;GBP;-5315.9644
LauncherLedger;2023-12-01 03:06:16;ADA;-3641.1777
BelCham;2023-12-01 03:07:55;JPY;1086668.7740
Vox_Ledger;2023-12-01 03:10:53;BGB;-6219.3134
CryptoFetch;2023-12-01 03:14:27;LDO;1198.3306
InfinityCurrency;2023-12-01 03:20:08;HKD;-9844.6192
SatoshiStaff;2023-12-01 03:23:07;SNX;742.5689
CryptoGrizzly;2023-12-01 03:32:38;NZD;-10522.6513
